WARNING  | ⚠️ ВНИМАНИЕ: Извлечено очень мало текста (0 символов)
WARNING  | PDF может быть сканированным или защищенным!
WARNING  | Рекомендуется использовать OCR или конвертировать PDF
WARNING  | ⚠️ Текст не извлечен. Пробуем OCR для сканированного PDF...
WARNING  | Кадастровый номер не найден
WARNING  | Кадастровый номер не найден в Выписка 64795 (1).pdf
ERROR    | Ошибка при обработке Выписка 64795 (1).pdf: TypeError: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | Создание строки ошибки для Выписка 64795 (1).pdf: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | ✗ Ошибка при обработке Выписка 64795 (1).pdf: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | ⚠️ ВНИМАНИЕ: Извлечено очень мало текста (0 символов)
WARNING  | PDF может быть сканированным или защищенным!
WARNING  | Рекомендуется использовать OCR или конвертировать PDF
WARNING  | ⚠️ Текст не извлечен. Пробуем OCR для сканированного PDF...
WARNING  | Кадастровый номер не найден
WARNING  | Кадастровый номер не найден в Выписка_из_ЕГРН_на_зем_участок_454_с_арендой_УК_Технопарк_ЛД.PDF
ERROR    | Ошибка при обработке Выписка_из_ЕГРН_на_зем_участок_454_с_арендой_УК_Технопарк_ЛД.PDF: TypeError: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | Создание строки ошибки для Выписка_из_ЕГРН_на_зем_участок_454_с_арендой_УК_Технопарк_ЛД.PDF: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | ✗ Ошибка при обработке Выписка_из_ЕГРН_на_зем_участок_454_с_арендой_УК_Технопарк_ЛД.PDF: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | ⚠️ ВНИМАНИЕ: Извлечено очень мало текста (0 символов)
WARNING  | PDF может быть сканированным или защищенным!
WARNING  | Рекомендуется использовать OCR или конвертировать PDF
WARNING  | ⚠️ Текст не извлечен. Пробуем OCR для сканированного PDF...
WARNING  | Кадастровый номер не найден
WARNING  | Кадастровый номер не найден в Выписка_из_ЕГРН_с_арендой_УК_Технопарк_ЛД_10.PDF
ERROR    | Ошибка при обработке Выписка_из_ЕГРН_с_арендой_УК_Технопарк_ЛД_10.PDF: TypeError: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | Создание строки ошибки для Выписка_из_ЕГРН_с_арендой_УК_Технопарк_ЛД_10.PDF: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | ✗ Ошибка при обработке Выписка_из_ЕГРН_с_арендой_УК_Технопарк_ЛД_10.PDF: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | ⚠️ ВНИМАНИЕ: Извлечено очень мало текста (0 символов)
WARNING  | PDF может быть сканированным или защищенным!
